customer_id,name,city
101,Alice,Madrid
102,Bob,Madrid
103,Charlie,Madrid
104,David,Madrid
105,Eva,Madrid
106,Frank,Madrid
107,Grace,Madrid
108,Hannah,Madrid
109,Ian,Madrid
110,Julia,Madrid
111,Kevin,Barcelona
112,Laura,Barcelona
113,Michael,Barcelona
114,Nina,Barcelona
115,Oscar,Barcelona
116,Paula,Barcelona
117,Quinn,Barcelona
118,Rachel,Barcelona
119,Sam,Barcelona
120,Tom,Barcelona
121,Ursula,Sevilla
122,Victor,Sevilla
123,Wendy,Sevilla
124,Xavier,Sevilla
125,Yolanda,Sevilla
126,Zach,Sevilla
127,Anna,Sevilla
128,Ben,Sevilla
129,Chris,Sevilla
130,Diana,Sevilla
131,Ethan,Valencia
132,Fiona,Valencia
133,George,Valencia
134,Harry,Valencia
135,Iris,Valencia
136,Jack,Valencia
137,Katie,Valencia
138,Leo,Valencia
139,Megan,Valencia
140,Oliver,Valencia
