order_id,customer_name,product,amount,region,timestamp
1,Ashley Schaefer,Shirt,567.82,North America,2026-05-31 12:46:44.451897
2,Antonio Phillips,Blouse,978.16,Europe,2026-05-31 12:46:44.584729
3,Angela Lynch,Blouse,406.42,Africa,2026-05-31 12:46:44.595761
4,Cheryl Cunningham,Jeans,187.7,North America,2026-05-31 12:46:44.606415
5,Laura Gonzalez,Socks,629.81,Oceania,2026-05-31 12:46:44.617372
6,Marcia Hernandez,Hat,325.08,Europe,2026-05-31 12:46:44.628035
7,Patrick Sexton,Coat,176.27,South America,2026-05-31 12:46:44.639539
8,John Mckee,Scarf,343.33,North America,2026-05-31 12:46:44.651033
9,John Richards,Dress,787.32,South America,2026-05-31 12:46:44.662309
10,Lisa Rivera,Shirt,949.01,Oceania,2026-05-31 12:46:44.673595
11,Caitlin Davis,Skirt,778.32,Europe,2026-05-31 12:46:44.684712
12,Lisa Gray,Blouse,425.77,Asia,2026-05-31 12:46:44.695814
13,Shelly Fuentes,Scarf,356.78,Africa,2026-05-31 12:46:44.707003
14,Stacey Harper,Blouse,36.83,North America,2026-05-31 12:46:44.718542
15,Brian Hughes,Dress,967.41,Oceania,2026-05-31 12:46:44.729897
16,Misty Williams,Skirt,982.25,Europe,2026-05-31 12:46:44.741136
17,Charles Williams,Scarf,458.75,North America,2026-05-31 12:46:44.752262
18,Michael Gallagher,Socks,622.78,South America,2026-05-31 12:46:44.763153
19,Karen Lee,Hat,744.27,Asia,2026-05-31 12:46:44.774123
20,Eric Maldonado,Jeans,852.09,Europe,2026-05-31 12:46:44.785288
21,Matthew Medina,Blouse,792.77,Asia,2026-05-31 12:46:44.796373
22,Robert Carter,Dress,502.23,Africa,2026-05-31 12:46:44.807451
23,Helen Williams,Jeans,126.85,South America,2026-05-31 12:46:44.818276
24,Seth Griffith,Gloves,152.69,Asia,2026-05-31 12:46:44.828949
25,Kristen Clark,Gloves,716.92,Asia,2026-05-31 12:46:44.839974
26,Amber Rodriguez,Gloves,758.5,Africa,2026-05-31 12:46:44.850481
27,Carlos Christian,Shirt,88.02,Oceania,2026-05-31 12:46:44.861027
28,Samuel Valdez,Socks,482.97,Africa,2026-05-31 12:46:44.872039
29,Nicole Johns,Jeans,307.43,Africa,2026-05-31 12:46:44.882659
30,Ricardo Gamble,Jeans,328.27,Europe,2026-05-31 12:46:44.893233
31,Kristie Eaton,Gloves,245.3,Asia,2026-05-31 12:46:44.903866
32,Tonya Nguyen,Dress,918.47,Oceania,2026-05-31 12:46:44.914549
33,Lisa Jones,Blouse,53.32,North America,2026-05-31 12:46:44.925657
34,Daniel Miller,Skirt,898.47,North America,2026-05-31 12:46:44.936343
35,Charles Franklin,Shirt,666.7,Asia,2026-05-31 12:46:44.947438
36,Raymond Herrera,Scarf,14.55,South America,2026-05-31 12:46:44.958280
37,Catherine Marshall,Socks,604.25,Africa,2026-05-31 12:46:44.969486
38,Jose Brown,Skirt,734.45,North America,2026-05-31 12:46:44.980584
39,Erica Fuentes,Hat,61.94,North America,2026-05-31 12:46:44.991482
40,Kevin Smith,Shirt,720.17,North America,2026-05-31 12:46:45.002105
41,Joseph Warren,Skirt,406.7,Europe,2026-05-31 12:46:45.013262
42,Brian Downs,Skirt,599.76,North America,2026-05-31 12:46:45.024149
43,Mrs. Jennifer Diaz,Scarf,297.3,Oceania,2026-05-31 12:46:45.034807
44,Cody Simpson,Scarf,984.5,Europe,2026-05-31 12:46:45.045863
45,Leah Giles,Blouse,198.03,Oceania,2026-05-31 12:46:45.056542
46,Tami Garcia,Skirt,439.47,Africa,2026-05-31 12:46:45.067499
47,Madeline Stevenson,Dress,402.3,Oceania,2026-05-31 12:46:45.078176
48,Jessica Martin,Skirt,479.32,Asia,2026-05-31 12:46:45.088762
49,Amanda Harvey,Dress,745.58,Africa,2026-05-31 12:46:45.099381
50,Jessica Warren,Jeans,353.71,Africa,2026-05-31 12:46:45.109934
51,Alec Stephens,Skirt,751.33,Oceania,2026-05-31 12:46:45.120999
52,Autumn Young,Skirt,531.86,Europe,2026-05-31 12:46:45.132122
53,Rachel Lopez,Dress,456.24,North America,2026-05-31 12:46:45.142713
54,Kristen Hayes,Dress,648.52,Oceania,2026-05-31 12:46:45.153391
55,Maria Carpenter,Socks,863.05,Oceania,2026-05-31 12:46:45.164000
56,Steven Parker,Gloves,761.38,Europe,2026-05-31 12:46:45.174895
57,Heidi Brown,Shirt,641.7,Oceania,2026-05-31 12:46:45.186037
58,Ricky Martin,Gloves,388.81,Asia,2026-05-31 12:46:45.196987
59,Jonathan Blair,Shirt,504.5,Africa,2026-05-31 12:46:45.208006
60,Kelsey Phillips,Socks,35.75,Oceania,2026-05-31 12:46:45.218580
61,Ronald Mcdaniel,Blouse,407.29,Africa,2026-05-31 12:46:45.229245
62,Samuel Campbell,Shirt,870.73,North America,2026-05-31 12:46:45.239763
63,Daniel Adams,Socks,62.28,South America,2026-05-31 12:46:45.250412
64,Andrew Sullivan,Coat,355.74,South America,2026-05-31 12:46:45.260997
65,Robert Richards,Socks,152.34,Europe,2026-05-31 12:46:45.271619
66,Sarah Gordon,Shirt,317.11,Europe,2026-05-31 12:46:45.282152
67,Russell Berg,Blouse,486.39,North America,2026-05-31 12:46:45.292681
68,Tracy Williams,Blouse,752.47,Oceania,2026-05-31 12:46:45.303390
69,Jennifer Rogers,Coat,336.86,Asia,2026-05-31 12:46:45.314204
70,Kevin Boone,Hat,895.53,Europe,2026-05-31 12:46:45.324761
71,Mr. Eric Ortega,Blouse,168.5,Europe,2026-05-31 12:46:45.335499
72,Justin Evans,Coat,468.63,Europe,2026-05-31 12:46:45.346487
73,Todd Olsen,Shirt,216.13,Asia,2026-05-31 12:46:45.357119
74,Monica Herrera,Shirt,563.39,Europe,2026-05-31 12:46:45.368172
75,Jennifer Stewart,Skirt,644.46,Oceania,2026-05-31 12:46:45.379278
76,James Mcdonald,Skirt,870.42,Africa,2026-05-31 12:46:45.389942
77,April Dennis,Scarf,205.03,Africa,2026-05-31 12:46:45.401055
78,Daniel Gonzalez,Scarf,144.65,Europe,2026-05-31 12:46:45.411797
79,Roger Murray,Hat,669.57,North America,2026-05-31 12:46:45.422694
80,Theresa Bailey,Skirt,111.7,North America,2026-05-31 12:46:45.433588
81,Christopher Harrington,Hat,514.53,North America,2026-05-31 12:46:45.444673
82,Nancy Carroll,Blouse,228.04,Asia,2026-05-31 12:46:45.455883
83,Leah Kelly,Scarf,459.79,Europe,2026-05-31 12:46:45.466557
84,Dale Stephens,Dress,263.45,Africa,2026-05-31 12:46:45.478446
85,Brian Dean,Blouse,371.14,North America,2026-05-31 12:46:45.489761
86,Connie Nelson,Gloves,486.65,North America,2026-05-31 12:46:45.500894
87,Donald Turner,Blouse,629.08,North America,2026-05-31 12:46:45.511963
88,Jodi Potts,Dress,100.98,South America,2026-05-31 12:46:45.522808
89,Jonathan Pham,Blouse,562.26,North America,2026-05-31 12:46:45.533337
90,Nicole Shepard,Jeans,759.64,Africa,2026-05-31 12:46:45.543890
91,Robert Webb,Jeans,494.76,Asia,2026-05-31 12:46:45.554746
92,Justin Yang,Dress,858.85,Africa,2026-05-31 12:46:45.565398
93,Cindy James,Shirt,517.73,Europe,2026-05-31 12:46:45.576120
94,Austin Shah,Gloves,546.22,Europe,2026-05-31 12:46:45.586885
95,David Rodriguez,Gloves,391.65,South America,2026-05-31 12:46:45.597473
96,Lynn Davis,Jeans,472.13,Asia,2026-05-31 12:46:45.608087
97,Mark Williams,Shirt,221.86,Asia,2026-05-31 12:46:45.618719
98,Laura Byrd,Skirt,875.89,Asia,2026-05-31 12:46:45.629641
99,Mark Harris,Gloves,280.78,Europe,2026-05-31 12:46:45.640650
100,Briana Harrell,Hat,769.0,North America,2026-05-31 12:46:45.651268
101,Michael Wiley,Skirt,417.29,South America,2026-05-31 12:46:45.661934
102,Billy Murphy,Scarf,805.03,North America,2026-05-31 12:46:45.672819
103,Melissa Collier,Skirt,344.72,South America,2026-05-31 12:46:45.683504
104,Jason Perez,Scarf,522.72,Oceania,2026-05-31 12:46:45.694057
105,Ralph Miller,Shirt,123.73,North America,2026-05-31 12:46:45.704824
106,Dennis Rodriguez,Gloves,554.74,Asia,2026-05-31 12:46:45.715846
107,Ann Brown,Shirt,707.01,Africa,2026-05-31 12:46:45.726435
108,Ashley Gomez,Jeans,352.35,North America,2026-05-31 12:46:45.737052
109,Christopher Holland,Coat,219.27,Oceania,2026-05-31 12:46:45.747601
110,Jeffrey Brock,Dress,475.41,Asia,2026-05-31 12:46:45.758224
111,Robert Johnson,Shirt,583.58,North America,2026-05-31 12:46:45.768849
112,Ashley Howard DVM,Jeans,733.17,North America,2026-05-31 12:46:45.779578
113,Deanna Kidd,Dress,58.22,South America,2026-05-31 12:46:45.790558
114,Marcia Hill,Hat,994.76,North America,2026-05-31 12:46:45.801611
115,David Roach,Hat,276.0,Africa,2026-05-31 12:46:45.812492
116,Jennifer Aguilar,Skirt,432.11,Africa,2026-05-31 12:46:45.823160
117,Nicholas Bowers,Hat,832.44,North America,2026-05-31 12:46:45.834256
118,Kathryn Baldwin,Socks,932.72,Asia,2026-05-31 12:46:45.844919
119,James Patterson,Jeans,796.92,South America,2026-05-31 12:46:45.855930
120,Andrew Fuller,Socks,711.75,Africa,2026-05-31 12:46:45.866559
121,Julie Osborn,Hat,370.03,North America,2026-05-31 12:46:45.877902
122,Madison Vega,Jeans,919.89,Africa,2026-05-31 12:46:45.888961
123,Melissa Hartman,Skirt,860.57,South America,2026-05-31 12:46:45.900047
124,Patricia Williams,Skirt,694.11,Asia,2026-05-31 12:46:45.911082
125,Brandon Rose,Shirt,780.46,Africa,2026-05-31 12:46:45.922202
126,Christopher Ryan,Blouse,99.41,Africa,2026-05-31 12:46:45.933315
127,Ashley Lopez,Blouse,753.3,Europe,2026-05-31 12:46:45.944319
128,Jimmy Peterson,Jeans,439.7,Africa,2026-05-31 12:46:45.955323
129,Allison Hill,Socks,240.3,Asia,2026-05-31 12:46:45.966305
130,Monica Black,Hat,843.49,Asia,2026-05-31 12:46:45.976953
131,Heather Rodriguez,Dress,119.82,North America,2026-05-31 12:46:45.988111
132,Mark Wheeler,Jeans,650.59,Africa,2026-05-31 12:46:45.999201
133,Amanda Mccarthy,Blouse,861.89,Africa,2026-05-31 12:46:46.009902
134,Heather Glover,Hat,138.13,Europe,2026-05-31 12:46:46.020774
135,Henry Black,Dress,476.26,South America,2026-05-31 12:46:46.031854
136,Adam Alvarez,Jeans,281.73,Oceania,2026-05-31 12:46:46.042507
137,Brenda Brooks,Jeans,957.71,North America,2026-05-31 12:46:46.053451
138,Jeffrey Holland,Skirt,149.16,Asia,2026-05-31 12:46:46.064594
139,Joseph Benson,Gloves,411.09,South America,2026-05-31 12:46:46.075899
140,Andrew Downs,Blouse,753.41,Europe,2026-05-31 12:46:46.087139
141,Randy White,Skirt,420.07,Oceania,2026-05-31 12:46:46.098178
142,Darrell Kelley,Skirt,561.91,Africa,2026-05-31 12:46:46.108974
143,Henry Powell,Jeans,896.36,Europe,2026-05-31 12:46:46.119854
144,Anthony Lara,Jeans,726.06,North America,2026-05-31 12:46:46.131111
145,Ryan Johnson,Socks,237.76,Asia,2026-05-31 12:46:46.142178
146,Jennifer Jones,Gloves,519.97,Asia,2026-05-31 12:46:46.153402
147,David Johnson,Coat,363.58,Europe,2026-05-31 12:46:46.164457
148,Joshua Washington,Blouse,996.91,North America,2026-05-31 12:46:46.176099
149,Steven Cochran,Dress,723.77,North America,2026-05-31 12:46:46.187244
150,Amanda Chavez,Scarf,871.31,Europe,2026-05-31 12:46:46.198396
151,Douglas Roberts,Shirt,524.16,Asia,2026-05-31 12:46:46.209491
